Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date
,68432724,"Unit 5 Windsor Business Park, Ryburn Terrace, Halifax, HX1 4SE",,2325,0,03/25/08
Chief Environmental Health Officer,77674702,"Public Convenience, Brig Royd, Ripponden, Sowerby Bridge       HX6 4AN","Fao Wendy Backhouse, Northgate House, Northgate, Halifax, HX1 1UN",1950,943.8,04/01/05
Age Uk,78192010,"10 Halifax Road, Todmorden, OL14 5AD","Property Department, Tavis House, 1-6 Tavistock Square, London, WC1H 9NA",9000,894.6,07/01/06
,78040712,"Blind Lane, Todmorden, OL14 5HZ",,4750,0,01/01/08
,68772087,"87 Stainland Road, Greetland, Halifax, HX4 8BD",,3350,0,01/18/08
,69380701,"1A Westbourne Crescent, Crossley Hill Lane, Halifax, HX3 0PJ",,1850,0,04/01/08
Clear Channel (Uk) Ltd,64376734,"Advertising Right, On Bus Shelter 0702 0129, Brighouse Road, Hipperholme          HX3 8EB","Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",480,232.32,04/01/08
Bics Laboratories Ltd,29440705,"Unit 1 Little John Mills, Oak Hill Road, Brighouse, HD6 1SL","Unit 1/2, Little John Mills, Oakhill Road, Brighouse, HD6 1SL",9600,2787.28,01/01/06
Royds Properties Ltd,56196738,"Unit 15 Wellington Mills, Quebec Street, Elland, HX5 9AS","Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",370,0,04/01/06
Bizspace Ltd,64628767,"Unit 6H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",2325,1125.3,01/30/08
Bizspace Ltd,64628730,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",4650,2311.05,01/30/08
Hawkhead Bray & Son Ltd,68248731,"Unit 32b, Phoebe Lane Ind Estate, Phoebe Lane, Halifax             HX3 9EX","Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",260,0,04/01/01
Global Commercial Investments Ltd,64242747,"First Floor Unit H, Craven Edge Enterprise Cntr, Hopwood Lane, Halifax              HX1 5JH","Unit 4, Fast Food Business Centre, Pride Buildings, Hall Lane, Bradford, BD4 7AB",5400,2683.8,02/01/08
Tefonica O2 (Uk) Ltd,29184703,"Telecommunication Mast, Site Ref 4890, Clough Lane, Brighouse            HD6 3QL","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",8400,4065.6,04/01/05
,64052704,"7 Albion Street, Halifax, HX1 1DU",,3450,0,02/05/07
4 Life Financial Services Ltd,77648068,"68 West Street, Sowerby Bridge, HX6 3AP",,3500,0,02/05/07
Hutchinson 3G Uk Ltd,65800703,"Telecommunications Mast, Site Ref 0009, Mile Cross Road, Halifax              HX1 4HN","C/O G V A Grimley [Tm], P.O Box 16097, 3 Brindley Place, Birmingham, B2 2UY",8400,0,04/01/05
Everything Everywhere Ltd,68132751,"Telecommunication Mast, Site Ref W Y K 0223, Old Lane, Halifax              HX3 6UB","C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",8300,4017.2,04/01/05
,64812713,"14 Holme Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 6LJ",,2000,0,03/19/07
Hutchinson 3G Uk Ltd,29184706,"Telecommunication Mast, Site Ref H D 0017, Clough Lane, Rastrick             HD6 3QL","C/O G V A Grimley [Tm], P.O Box 16097, 3 Brindley Place, Birmingham, B2 2UY",5100,0,04/01/05
Tefonica O2 (Uk) Ltd,29337704,"Telecommunication Mast, Site Ref 18748, Highmoor Lane, Brighouse            HD6 4JB","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",2800,1355.2,04/01/06
Hutchinson 3G Uk Ltd,68256703,"Telecommunication Mast, Ref HX0014 Coal Pit Lane, Southowram, HX3 9RG","C/O G V A Grimley [Tm], P.O Box 16097, 3 Brindley Place, Birmingham, B2 2UY",8200,0,04/01/05
Calderdale Mbc,68252024,"24 The Colonnade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2550,0,09/24/06
Grantham House Properties Ltd,65192713,"Grantham House, Grantham Road, Halifax, HX3 6PL","C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",9300,4622.1,04/01/05
"Armitage, Hewitt & Hellowell",65736727,"Room 5 1st Floor, 6 Market Street, Halifax, HX1 1RN","C/O Bramleys, 16 St George Square, Huddersfield, HD1 1JF",1200,0,06/10/02
"Armitage, Hewitt & Hellowell",65736718,"Room 3, Palatine Chambers, 6 Market Street, Halifax             HX1 1RW","C/O Bramleys, 16 St George Square, Huddersfield, HD1 1JF",1400,0,09/17/05
Stephen Conway (Bookbinders) Ltd,64584749,"5 Clare Road, Halifax, HX1 2HX","Fao Steve Conway, Office Lower Ground Floor, 5 Clare Road, Halifax, HX1 2HX",5200,0,04/01/07
C & R Maintenance Services Ltd,65344855,"Office H M 3.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",,3950,0,05/01/07
,76164703,"Hoo Hole Farm Cottage, Cragg Vale, Hebden Bridge, HX7 5HA",,195,0,04/01/07
Calderdale Mbc Markets Manager,64288789,"Balcony Store 18, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",1000,0,09/17/05
Calderdale Mbc Markets Manager,64288804,"Balcony Store 32, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",133,0,09/17/05
Lorna Stewart Hair Ltd,56156700,"St Pauls Buildings, Langdale Street, Elland, HX5 0EX","F.A.O Lorna Stuart-Pearson, Unit 7, St Pauls Buildings, Langdale Street, Elland, HX4 0EX",2175,0,08/05/06
Units To Let [Northern] Ltd,77024730,"Unit 30A, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",700,0,09/18/05
Blackshaw Holdings Ltd,29056726,"Unit 30 Birkby House, Birkby Lane, Brighouse, HD6 4JJ","St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,0,10/03/07
,76540704,"Co-Operative Yard, Towngate, Heptonstall, Hebden Bridge        HX7 6NJ",,2450,1185.8,06/13/07
,77652028,"28 Wharf Street, Sowerby Bridge, HX6 2AE",,3000,0,01/01/06
St. Augustine's Support Centre,65264774,"St Augustines Vicarage, Hanson Lane, Halifax, HX1 5PG","Attn Vicky Ledwidge, St Augustines Support Centre, Hanson Lane, Halifax, HX1 5PG",3400,0,04/01/05
,77452701,"Joiners Workshop, Upper Cockroft, Rishworth New Road, Sowerby Bridge       HX6 4RE",,5000,0,04/01/05
,78176700,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",,1600,0,09/17/05
P & M Services Ltd,78024701,"Stoneswood Mill, Bacup Road, Todmorden, OL14 7HG","New House, Colden, Hebden Bridge, HX7 7HD",10500,5218.5,04/01/90
,78422701,"Barn Adj Shoebroad, Shoebroad, Shoebroad Lane, Todmorden           OL14 6LQ",,2025,0,05/26/06
,64656708,"Garage, Lowerfield Bottom Farm, Coley Road, Halifax              HX3 7SA",,3400,0,11/13/06
,76224709,"Unit 1, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",,4850,0,07/01/07
,68232706,"Unit U1, Pear Street, Halifax, HX1 3UA",,2200,0,04/01/07
R.Yung Ltd,65828701,"Mixenden Pharmacy, Mixenden Stones, Mixenden, Halifax              HX2 8RQ","Mixenden Stones, Mixenden Road, Mixenden, Halifax, HX2 8RQ",6800,438.82,01/03/07
Oddy Ltd,65344858,"Office, Old Boardroom, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",,3500,0,03/01/07
,76360017,"17 Market Street, Hebden Bridge, HX7 6EU",,8300,0,01/25/06
Units To Let [Northern] Ltd,77352707,"Unit 16, Mill House Works, Mill House Lane, Triangle            HX6 3LN","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",1775,0,09/17/05
Thornber Chicks Ltd,76160733,"Unit 3B, Top Land Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU","Dean Hey Farm, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",8000,1290.65,10/01/03
Units To Let [Northern] Ltd,77352735,"Mill House Works, Mill House Lane, Triangle, HX6 3LN","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",530,0,04/02/00
T T Environmental Ltd,64888701,"Heights Lodge North, Castle Carr Road, Wainstalls, Halifax              HX2 7TR","Ms J Greenwood, Heights Lodge North, Castle Carr Road, Wainstalls, HX2 7TR",1025,0,08/07/06
Exors Of Mr G R Rower,78412702,"19b School Lane, Todmorden, OL14 5AP","C/O Mrs C W J Mahoney, 19 The Paddock, Rufford, Lancs, L40 1UL",2225,0,04/01/07
Dean Clough Ltd,64788805,"Office Suite D175, Dean Clough, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",10750,0,11/28/07
,68472700,"Carlton Works, Rear Of 24 Savile Park Road, Halifax, HX1 2EN",,810,0,04/01/05
S.F.L [ Yorkshire ] Ltd,69400704,"19a Westgate, Halifax, HX1 1DJ","20 Low Street, Keighley, BD21 3PN",6200,3000.8,08/30/06
,78076860,"Unit 1 Tower Block, Robinwood Mill, Burnley Road, Todmorden           OL14 8JA",,2550,0,06/13/07
,65264019,"19 Hanson Lane, Halifax, HX1 5NX",,2900,0,10/06/07
Halifax Property Services Ltd,69360709,"West Parade Ind Est, West Parade, Halifax, HX1 2TE","Fagley Lane, Eccleshill, Bradford, BD2 3NT",2075,0,01/01/08
,64648701,"The Delvers, Wainstalls, Halifax, HX2 7UA",,3600,0,02/01/08
,69400008,"8 Westgate, Halifax, HX1 1DJ",,11000,4436.65,09/29/06
Dean Clough Ltd,64784842,"Office Suite E 145, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",1625,0,08/23/07
,64336706,"The Coach House, 3 Bradshaw Lane, Bradshaw, Halifax              HX2 9UZ",,1425,0,04/03/07
Clear Channel (Uk) Ltd,77444705,"Advertising Right, No 23045 Bus Shelter, Regent Parade, Wharf Street","Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",480,232.32,04/01/07
Go Far Enterprises Ltd,78116038,"38 Dale Street, Todmorden, OL14 5PX",,11250,4763.78,06/19/07
,29048730,"Room 5 & 7, At 47 Bethel Street, Brighouse, HD6 1JR",,2475,0,09/01/07
Queens Road Residents & Neighbourhood Association,68308374,"374 Queens Road, Halifax, HX1 4PH","F.T.A.O. Mr M Iqbal, 376 & 378 Queens Road, Halifax, HX1 4PH",4500,0,09/04/06
A P N Business Consultants Ltd,65520729,"Part First Floor, 8 King Cross Street, Halifax, HX1 2SH",,2050,0,05/01/06
Cheeky Monkeys [Northowram] Ltd,68018700,"28 Newlands View, Bradford Road, Northowram, Halifax              HX3 7HT","Suite 14, Armley Park Court, Stanningley Road, Armley. Leeds, LS12 2AE",6100,49.22,09/09/06
,77160702,"R/O 18 Corporation Street, Sowerby Bridge, HX6 2QQ",,270,0,04/01/07
,68536716,"Shay Lane Stables, Shay Lane, Halifax, HX3 6RR",,7400,835.66,04/01/08
,77652063,"63 Wharf Street, Sowerby Bridge, HX6 2AF",,4800,0,01/01/08
Finestreet Ltd,78192776,"21e Halifax Road, Todmorden, OL14 5AG","21a Halifax Road, Bramsche Square, Todmorden, OL14 5AG",1375,0,04/01/08
Halifax Opportunities Trust,65264728,"Community Enterprise Centre, Hanson Lane, Halifax, HX1 5PG","Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",7100,70.57,04/19/05
,65520726,"17A King Cross Street, Halifax, HX1 2SH",,4050,2012.85,10/01/07
,65348714,"Unit 3 Holmfield Garage, Holmfield Industrial Estate, Halifax, HX2 9TN",,2600,1258.4,02/01/08
,64288761,"Market Stall 121, Market Hall, Borough Market, Halifax             HX1 1DZ",,1425,0,11/16/06
,76400707,"Unit 1C Turkey Lodge, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,4950,0,10/01/06
The National Trust,76270702,"Hollin Hall Office, Hollin Hall Farm, Wadsworth, Hebden Bridge        HX7 7AP","Transaction Processing Unit, Epsom Court, Epsom Road,, White Horse Business Park, Trowbridge, Wiltshire, BA14 0XF",7900,785.26,01/29/06
Acs Health Safety & Environment Ltd,56076041,"41 Elizabeth Street, Elland, HX5 0JH","41 Elizabeth Street, Elland, HX5 0JH",6000,0,11/23/06
,77024705,"Unit 4, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",,1375,0,04/01/08
C F S (Brighouse) Ltd,29032704,"Atlas Mill Road, Brighouse, HD6 1ES",,1900,919.6,04/11/08
,76088839,"Unit 4 White Lee Garage, Burnley Road, Mytholmroyd, HX7 5AD",,2800,0,02/01/06
Dean Clough Ltd,64784751,"Unit DY/1, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",5100,0,01/01/06
,68236030,"30 Pellon Lane, Halifax, HX1 5SP",,310,150.04,12/08/07
,64832700,"6a Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",,2600,0,12/17/07
,29272009,"9 Gooder Lane, Brighouse, HD6 1HF",,5900,0,12/22/07
Calderdale Mbc,68252729,"21 The Colonnade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",1575,0,12/27/07
,78400830,"Quality Works, Rochdale Road, Todmorden, OL14 7NA",,122,0,09/01/07
Sky High Plc,65276717,"35 Harrison Road, Halifax, HX1 2AF","F A O Kevin Stewart, 35 Harrison Road, Halifax, HX1 2AF",11500,5566,01/01/08
,64356712,"Unit 7/8 Lower Brearley Mill, Luddendenfoot, Halifax, HX2 6HU",,4800,0,05/01/08
,68236012,"12 Pellon Lane, Halifax, HX1 5SP",,5900,2932.3,02/07/08
,29404003,"3 Market Street, Brighouse, HD6 1AP",,7300,765.57,05/08/06
A T C Properties Ltd,65100022,"Suite 2C First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW","7 Cottage Road, Headingley, Leeds, LS6 4DD",2050,0,07/31/08
,29652178,"178 Woodhouse Lane, Brighouse, HD6 3TH",,8300,1539.75,07/19/10
Biosonics Ltd,65372707,"Horley Green House, Horley Green Road, Halifax, HX3 6AS","C/O P.P.I Accountancy Ltd, Horley Green House, 73 Horley Green Road, Halifax, HX3 6AS",4400,0,04/01/10
,29232724,"Unit G, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",,8300,0,06/01/10
Double Vision Windows Ltd,68536758,"Paddock Works, 149 Shay Lane, Halifax, HX3 6RR","Attn Mr C Hemmings, Paddock Works, 149 Shay Lane, Halifax, HX3 6RR",3650,0,04/01/10
G A O'Dowd Ltd,65372708,"Unit B, Horley Green Road, Halifax, HX3 6AS","Whitelands, Churn Lane, Highroad Well, Halifax, HX2 7QW",5100,0,06/01/11
Reflecting Roadstuds Ltd,65808757,"Unit A The Old Rubber Mill, Mill Lane, Boothtown, Halifax              HX3 6TR","Fao William Dunn, 1 Mill Lane, Boothtown, Halifax, HX3 6TR",11500,5566,04/01/10
Origin Print Solutions Ltd,64784778,"Unit GY/5, G Mill Yard, Dean Clough Industrial Park, Halifax              HX3 5AX","Office Suite E 244, Dean Clough Mills, Halifax, HX3 5AX",2250,1089,12/01/09
Smart People Training & Development Company Ltd,64242714,"Office 16 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,1400,0,04/10/10
,77024780,"Part Ground Floor Adj, Unit 20 Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",,3200,0,06/01/10
,65344829,"Unit 1E Lwr Grd Flr Sth Mill, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",,830,0,09/01/10
Co Co Boo Halifax Ltd,69400017,"19 Westgate, Halifax, HX1 1DJ",,8900,2081.99,10/15/10
Rms Carpets Ltd,68236780,"Ground Floor, 354 Pellon Lane, Halifax, HX1 4QD","Fao Mr Richard Severn, 22 Newlands Grove, Northowram, Halifax, HX3 7HZ",5800,0,06/01/11
Sackville Spf Iv (Gp) No. 3 Ltd,76176002,"2 Crown Street, Hebden Bridge, HX7 8EH","C/O Gbr Phoenix & Beard Ltd, The Exchange, 19 Newhall Street, Birmingham, B3 3JP",7900,3926.3,06/29/11
,65516220,"220 King Cross Road, Halifax, HX1 3JP",,7100,629.96,06/01/11
Rs Electrical (Calderdale) Ltd,64628772,"Unit 6C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","9 Jubilee Street, Mytholmroyd, Hebden Bridge, HX7 5NP",2325,0,09/01/10
,56260003,"3 Whitwell Grove, Elland, HX5 9EJ",,2250,0,12/28/10
Pj's At Crystal Rooms Ltd,69264736,"Ground Floor, 14 Wards End, Halifax, HX1 1BX",,6900,500.91,10/12/10
Dexter Nicholas Ltd,64242793,"Off 4/5 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,7300,765.57,06/01/11
,68308239,"239 Queens Road, Halifax, HX1 4NJ",,5800,0,04/01/11
Pennine Magpie Ltd,64628804,"Unit 4A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Unit 4A, Calderdale Business Park, Club Lane, Halifax, HX2 8AX",9000,435.6,12/01/10
,78068721,"Stalls 31/32 Market Hall, Brook Street, Todmorden, OL14 5AJ",,2650,0,01/26/11
,78076781,"9 Burnley Road, Todmorden, OL14 7BU",,3550,1718.2,11/01/10
Calder Screenprint Ltd,56028717,"Unit 1 Burley Street Works, Burley Street, Elland, HX5 0AQ","Unit 1, Burley Street Works, Burley Street, Elland, HX5 0AQ",3100,1500.4,05/14/08
Cullingworth Commercials & Freight Services Ltd,65410702,"Storage Land, Hubert Street, Halifax, HX2 0AS","Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",1575,762.3,04/01/08
,29424713,"Car Wash, Mill Royd Street, Brighouse, HD6 1EY",,5300,0,07/01/08
,64500024,"22/24 Carr House Road, Shelf, Halifax, HX3 7QY",,6300,152.46,09/19/08
Calder Brook Estates Ltd,68132753,"Unit 5, Ladyship Industrial Estate, Old Lane, Halifax              HX3 5QN","C/O Waterside House, Central Works, Oldham Road, Ripponden, HX6 4DN",1600,0,04/01/08
,29236803,"Unit 4 Springvale Works, Elland Road, Brighouse, HD6 2RN",,7100,629.96,04/20/08
,64488018,"18 Carlton Street, Halifax, HX1 2AL",,8000,1290.65,12/24/09
Binns & Sons (Greetland) Ltd,64873713,"Second Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE","Brian Royd Mills, Saddleworth Road, Greetland, Halifax, HX4 8NF",1825,0,11/01/09
,78376702,"Unit 4 Hope Mill, Raglan Street, Todmorden, OL14 5HF",,6200,100.02,04/01/10
Mitchell Mould Service Ltd,64376736,"Unit 4 Brow Mills Ind Esate, Brighouse Road, Hipperholme, Halifax              HX3 8DD","Units 4, Brow Mills Industrial Estate, Brighouse Road, Hipperholme, HX3 8EF",10250,4961,07/01/08
Units To Let [Northern] Ltd,77340732,"Container No. 3, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",200,0,04/01/08
,29196104,"104 Commercial Street, Brighouse, HD6 1AQ",,8000,1290.65,10/03/08
Brearleys Solicitors,29180724,"Gable Of The Round Tavern, 2 Clifton Road, Brighouse, HD6 1SL","1 Brunswick Street, Batley, West Yorkshire, WF17 5DT",1675,810.7,09/23/08
,68308810,"First Floor Offices, 43-51 Queens Road, Halifax, HX1 3NS",,3100,0,04/01/08
,64288743,"Market Stall 82-84, Market Hall, Borough Market, Halifax             HX1 1DZ",,7600,980.92,12/01/08
Severhills Clay Pigeon Shooting Club,77214701,"Clay Pigeon Shooting Club, Severhills Farm, Foxen Lane, Mill Bank            HX6 4ND","Fao The Treasurer, Severhills Farm, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 4ND",520,0,08/12/10
,64716006,"6 Cross Hills, Halifax, HX1 1XQ",,1500,0,11/01/10
Bizspace Ltd,64628813,"Unit 8A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",3050,1476.2,03/01/10
,68096015,"15 Northgate, Halifax, HX1 1UR",,9200,2374.81,02/15/09
Mobile Broadband Network Ltd,77536707,"Telecommunications Mast, Site Ref HX0023 Church R/Top, St Peter's Avenue, Sowerby Bridge       HX6 1DF","Po Box 6079, Wolverhampton, WV1 9RA",8400,4065.6,01/09/09
,78040713,"Blind Lane, Todmorden, OL14 5HZ",,6700,378.34,12/05/08
,76679005,"Victoria Wood View, 5 Clunters, Cragg Vale, Hebden Bridge        HX7 5TH",,1750,847,10/01/10
,76508709,"Unit 5, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",,1225,0,11/01/08
,68392733,"220a Rochdale Road, Greetland, Halifax, HX4 8JE",,2275,0,04/01/09
The Stroke Association,29452728,"Office 11 Ground Floor, 11 Owler Ings Road, Brighouse, HD6 1EJ","1 Sterling Business Park, Salthouse Road, Brackmills, Northampton, Northamptonshire, NN4 7EX",1175,116.8,04/01/09
W W Leese [Hx] Ltd,65612723,"Lower Brea, Leeds Road, Halifax, HX3 7AQ","Lower Brear, Leeds Road, Stump Cross, Halifax, HX3 7AQ",4750,0,04/01/10
Managed Water Services Ltd,65612721,"Unit 7 Lower Brea, Leeds Road, Halifax, HX3 7AQ","Kildalton, Islay House, Lynderswood Farm, Lynderswood Lane, Black Notley, Braintree, CM77 8JT",3850,1863.4,09/06/10
,65612716,"Unit 2 Lower Brea, Leeds Road, Halifax, HX3 7AQ",,3250,1573,04/17/10
,29160008,"8 Church Street, Brighouse, HD6 3NF",,2650,1282.6,02/24/11
,64288799,"Balcony Store 27, Borough Market, Halifax, HX1 1DZ",,550,266.2,03/01/11
,64176105,"105 Battinson Road, Halifax, HX1 4RE",,2850,0,06/02/09
Halifax Opportunities Trust,68360002,"2 Rawson Street North, Halifax, HX3 6PU","Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",9600,0,12/15/08
Clear Channel (Uk) Ltd,68388242,"Adv Right Bus Shelter 20922, Adj 242 Rochdale Road, Halifax, HX2 7NL","Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",480,232.32,04/01/09
59 Steps Art Studio,76364701,"Melbourne Works Third Floor, Melbourne Street, Hebden Bridge, HX7 6AS",,4300,0,04/01/09
,64612024,"24 Clough Lane, Mixenden, Halifax, HX2 8SN",,2850,1379.4,02/05/11
,64048120,"120 Albert View, Pellon, Halifax, HX2 0DD",,2475,0,04/01/11
,76088016,"16 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,770,0,04/01/11
,29048020,"Part Fairway House, 20 Bethel Street, Brighouse, HD6 1JN",,6100,49.22,05/15/09
,77600742,"First Floor, 1A Central Buildings, Town Hall Street, Sowerby Bridge       HX6 2QF",,3200,0,05/01/09
Independent Healthcare Solutions Ltd,64428029,"29 Brow Lane, Shelf, Halifax, HX3 7QJ",,7300,765.57,11/17/08
,65947701,"Roseneath, Greenroyd Avenue, Skircoat Green, Halifax              HX3 0JN",,2550,0,04/06/09
,64812712,"12 Holme Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 8LJ",,2000,0,06/08/09
Acumen Distribution Ltd,69196716,"Victoria Road, Halifax, HX1 5PT","C/O Mr Asif Hussain, 31 Gibralter Road, Halifax, HX1 3HE",8900,4307.6,04/01/08
Jacksons Of Hebden Bridge Ltd,76088889,"Unit 4, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge        HX7 5QF","Unit 4, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge, HX7 5QF",11000,4436.65,07/10/09
