Billing Address,Liability Start Date,Property Address,Ratepayer,Net Debit,Property Reference,RV
"Raw End Farm, Sowerby Lane, Luddendenfoot, Halifax, HX2 6LA",01/09/2007,"Unit 3, Wellington Business Centre, Quebec Street, Elland              HX5 9AS",Scorpion Event Production Ltd,1455.36,56196715,8200
,07/12/2008,"3a Crown Street, Hebden Bridge, HX7 8EH",,2683.8,76176721,5400
,01/04/2008,"The Old Boiler House, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Foxvale Ltd,49.22,65344736,6100
,07/04/2008,"27 Wharf Street, Sowerby Bridge, HX6 2LA",,438.82,77652027,6800
,25/03/2008,"Unit 5 Windsor Business Park, Ryburn Terrace, Halifax, HX1 4SE",,0,68432724,2325
"Fao Wendy Backhouse, Northgate House, Northgate, Halifax, HX1 1UN",01/04/2005,"Public Convenience, Brig Royd, Ripponden, Sowerby Bridge       HX6 4AN",Chief Environmental Health Officer,943.8,77674702,1950
"Property Department, Tavis House, 1-6 Tavistock Square, London, WC1H 9NA",01/07/2006,"10 Halifax Road, Todmorden, OL14 5AD",Age Uk,894.6,78192010,9000
,01/01/2008,"Blind Lane, Todmorden, OL14 5HZ",,0,78040712,4750
,18/01/2008,"87 Stainland Road, Greetland, Halifax, HX4 8BD",,0,68772087,3350
,01/04/2008,"1A Westbourne Crescent, Crossley Hill Lane, Halifax, HX3 0PJ",,0,69380701,1850
"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",01/04/2008,"Advertising Right, On Bus Shelter 0702 0129, Brighouse Road, Hipperholme          HX3 8EB",Clear Channel (Uk) Ltd,232.32,64376734,480
"Unit 1/2, Little John Mills, Oakhill Road, Brighouse, HD6 1SL",01/01/2006,"Unit 1 Little John Mills, Oak Hill Road, Brighouse, HD6 1SL",Bics Laboratories Ltd,2787.28,29440705,9600
"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",01/04/2006,"Unit 15 Wellington Mills, Quebec Street, Elland, HX5 9AS",Royds Properties Ltd,0,56196738,370
"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",30/01/2008,"Unit 6H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,1125.3,64628767,2325
"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",30/01/2008,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,2311.05,64628730,4650
"Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",01/04/2001,"Unit 32b, Phoebe Lane Ind Estate, Phoebe Lane, Halifax             HX3 9EX",Hawkhead Bray & Son Ltd,0,68248731,260
"Unit 4, Fast Food Business Centre, Pride Buildings, Hall Lane, Bradford, BD4 7AB",01/02/2008,"First Floor Unit H, Craven Edge Enterprise Cntr, Hopwood Lane, Halifax              HX1 5JH",Global Commercial Investments Ltd,2683.8,64242747,5400
"Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",01/04/2005,"Telecommunication Mast, Site Ref 4890, Clough Lane, Brighouse            HD6 3QL",Tefonica O2 (Uk) Ltd,4065.6,29184703,8400
,05/02/2007,"7 Albion Street, Halifax, HX1 1DU",,0,64052704,3450
,05/02/2007,"68 West Street, Sowerby Bridge, HX6 3AP",4 Life Financial Services Ltd,0,77648068,3500
"C/O G V A Grimley [Tm], P.O Box 16097, 3 Brindley Place, Birmingham, B2 2UY",01/04/2005,"Telecommunications Mast, Site Ref 0009, Mile Cross Road, Halifax              HX1 4HN",Hutchinson 3G Uk Ltd,0,65800703,8400
"C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",01/04/2005,"Telecommunication Mast, Site Ref W Y K 0223, Old Lane, Halifax              HX3 6UB",Everything Everywhere Ltd,4017.2,68132751,8300
,19/03/2007,"14 Holme Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 6LJ",,0,64812713,2000
"C/O G V A Grimley [Tm], P.O Box 16097, 3 Brindley Place, Birmingham, B2 2UY",01/04/2005,"Telecommunication Mast, Site Ref H D 0017, Clough Lane, Rastrick             HD6 3QL",Hutchinson 3G Uk Ltd,0,29184706,5100
"Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",01/04/2006,"Telecommunication Mast, Site Ref 18748, Highmoor Lane, Brighouse            HD6 4JB",Tefonica O2 (Uk) Ltd,1355.2,29337704,2800
"C/O G V A Grimley [Tm], P.O Box 16097, 3 Brindley Place, Birmingham, B2 2UY",01/04/2005,"Telecommunication Mast, Ref HX0014 Coal Pit Lane, Southowram, HX3 9RG",Hutchinson 3G Uk Ltd,0,68256703,8200
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",24/09/2006,"24 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252024,2550
"C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",01/04/2005,"Grantham House, Grantham Road, Halifax, HX3 6PL",Grantham House Properties Ltd,4622.1,65192713,9300
"C/O Bramleys, 16 St George Square, Huddersfield, HD1 1JF",10/06/2002,"Room 5 1st Floor, 6 Market Street, Halifax, HX1 1RN","Armitage, Hewitt & Hellowell",0,65736727,1200
"C/O Bramleys, 16 St George Square, Huddersfield, HD1 1JF",17/09/2005,"Room 3, Palatine Chambers, 6 Market Street, Halifax             HX1 1RW","Armitage, Hewitt & Hellowell",0,65736718,1400
"Fao Steve Conway, Office Lower Ground Floor, 5 Clare Road, Halifax, HX1 2HX",01/04/2007,"5 Clare Road, Halifax, HX1 2HX",Stephen Conway (Bookbinders) Ltd,0,64584749,5200
,01/05/2007,"Office H M 3.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",C & R Maintenance Services Ltd,0,65344855,3950
,01/04/2007,"Hoo Hole Farm Cottage, Cragg Vale, Hebden Bridge, HX7 5HA",,0,76164703,195
"19 Albion Street, Halifax, HX1 1DU",17/09/2005,"Balcony Store 18, Borough Market, Halifax, HX1 1DZ",Calderdale Mbc Markets Manager,0,64288789,1000
"19 Albion Street, Halifax, HX1 1DU",17/09/2005,"Balcony Store 32, Borough Market, Halifax, HX1 1DZ",Calderdale Mbc Markets Manager,0,64288804,133
"F.A.O Lorna Stuart-Pearson, Unit 7, St Pauls Buildings, Langdale Street, Elland, HX4 0EX",05/08/2006,"St Pauls Buildings, Langdale Street, Elland, HX5 0EX",Lorna Stewart Hair Ltd,0,56156700,2175
"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",18/09/2005,"Unit 30A, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",Units To Let [Northern] Ltd,0,77024730,700
"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",03/10/2007,"Unit 30 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",Blackshaw Holdings Ltd,0,29056726,1975
,13/06/2007,"Co-Operative Yard, Towngate, Heptonstall, Hebden Bridge        HX7 6NJ",,1185.8,76540704,2450
,01/01/2006,"28 Wharf Street, Sowerby Bridge, HX6 2AE",,0,77652028,3000
"Attn Vicky Ledwidge, St Augustines Support Centre, Hanson Lane, Halifax, HX1 5PG",01/04/2005,"St Augustines Vicarage, Hanson Lane, Halifax, HX1 5PG",St. Augustine's Support Centre,0,65264774,3400
,01/04/2005,"Joiners Workshop, Upper Cockroft, Rishworth New Road, Sowerby Bridge       HX6 4RE",,0,77452701,5000
,17/09/2005,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",,0,78176700,1600
"New House, Colden, Hebden Bridge, HX7 7HD",01/04/1990,"Stoneswood Mill, Bacup Road, Todmorden, OL14 7HG",P & M Services Ltd,5218.5,78024701,10500
,26/05/2006,"Barn Adj Shoebroad, Shoebroad, Shoebroad Lane, Todmorden           OL14 6LQ",,0,78422701,2025
,13/11/2006,"Garage, Lowerfield Bottom Farm, Coley Road, Halifax              HX3 7SA",,0,64656708,3400
,01/07/2007,"Unit 1, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",,0,76224709,4850
,01/04/2007,"Unit U1, Pear Street, Halifax, HX1 3UA",,0,68232706,2200
"Mixenden Stones, Mixenden Road, Mixenden, Halifax, HX2 8RQ",03/01/2007,"Mixenden Pharmacy, Mixenden Stones, Mixenden, Halifax              HX2 8RQ",R.Yung Ltd,438.82,65828701,6800
,01/03/2007,"Office, Old Boardroom, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Oddy Ltd,0,65344858,3500
,25/01/2006,"17 Market Street, Hebden Bridge, HX7 6EU",,0,76360017,8300
"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",17/09/2005,"Unit 16, Mill House Works, Mill House Lane, Triangle            HX6 3LN",Units To Let [Northern] Ltd,0,77352707,1775
"Dean Hey Farm, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",01/10/2003,"Unit 3B, Top Land Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,1290.65,76160733,8000
"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",02/04/2000,"Mill House Works, Mill House Lane, Triangle, HX6 3LN",Units To Let [Northern] Ltd,0,77352735,530
"Ms J Greenwood, Heights Lodge North, Castle Carr Road, Wainstalls, HX2 7TR",07/08/2006,"Heights Lodge North, Castle Carr Road, Wainstalls, Halifax              HX2 7TR",T T Environmental Ltd,0,64888701,1025
"C/O Mrs C W J Mahoney, 19 The Paddock, Rufford, Lancs, L40 1UL",01/04/2007,"19b School Lane, Todmorden, OL14 5AP",Exors Of Mr G R Rower,0,78412702,2225
"Office Suite E345, Dean Clough, Halifax, HX3 5AX",28/11/2007,"Office Suite D175, Dean Clough, Halifax, HX3 5AX",Dean Clough Ltd,0,64788805,10750
,01/04/2005,"Carlton Works, Rear Of 24 Savile Park Road, Halifax, HX1 2EN",,0,68472700,810
"20 Low Street, Keighley, BD21 3PN",30/08/2006,"19a Westgate, Halifax, HX1 1DJ",S.F.L [ Yorkshire ] Ltd,3000.8,69400704,6200
,13/06/2007,"Unit 1 Tower Block, Robinwood Mill, Burnley Road, Todmorden           OL14 8JA",,0,78076860,2550
,06/10/2007,"19 Hanson Lane, Halifax, HX1 5NX",,0,65264019,2900
"Fagley Lane, Eccleshill, Bradford, BD2 3NT",01/01/2008,"West Parade Ind Est, West Parade, Halifax, HX1 2TE",Halifax Property Services Ltd,0,69360709,2075
,01/02/2008,"The Delvers, Wainstalls, Halifax, HX2 7UA",,0,64648701,3600
,29/09/2006,"8 Westgate, Halifax, HX1 1DJ",,4436.65,69400008,11000
"Office Suite E345, Dean Clough, Halifax, HX3 5AX",23/08/2007,"Office Suite E 145, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,0,64784842,1625
,03/04/2007,"The Coach House, 3 Bradshaw Lane, Bradshaw, Halifax              HX2 9UZ",,0,64336706,1425
"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",01/04/2007,"Advertising Right, No 23045 Bus Shelter, Regent Parade, Wharf Street",Clear Channel (Uk) Ltd,232.32,77444705,480
,19/06/2007,"38 Dale Street, Todmorden, OL14 5PX",Go Far Enterprises Ltd,4763.78,78116038,11250
,01/09/2007,"Room 5 & 7, At 47 Bethel Street, Brighouse, HD6 1JR",,0,29048730,2475
"F.T.A.O. Mr M Iqbal, 376 & 378 Queens Road, Halifax, HX1 4PH",04/09/2006,"374 Queens Road, Halifax, HX1 4PH",Queens Road Residents & Neighbourhood Association,0,68308374,4500
,01/05/2006,"Part First Floor, 8 King Cross Street, Halifax, HX1 2SH",A P N Business Consultants Ltd,0,65520729,2050
"Suite 14, Armley Park Court, Stanningley Road, Armley. Leeds, LS12 2AE",09/09/2006,"28 Newlands View, Bradford Road, Northowram, Halifax              HX3 7HT",Cheeky Monkeys [Northowram] Ltd,49.22,68018700,6100
,01/04/2007,"R/O 18 Corporation Street, Sowerby Bridge, HX6 2QQ",,0,77160702,270
,01/04/2008,"Shay Lane Stables, Shay Lane, Halifax, HX3 6RR",,835.66,68536716,7400
,01/01/2008,"63 Wharf Street, Sowerby Bridge, HX6 2AF",,0,77652063,4800
"21a Halifax Road, Bramsche Square, Todmorden, OL14 5AG",01/04/2008,"21e Halifax Road, Todmorden, OL14 5AG",Finestreet Ltd,0,78192776,1375
"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",19/04/2005,"Community Enterprise Centre, Hanson Lane, Halifax, HX1 5PG",Halifax Opportunities Trust,70.57,65264728,7100
,01/10/2007,"17A King Cross Street, Halifax, HX1 2SH",,2012.85,65520726,4050
,01/02/2008,"Unit 3 Holmfield Garage, Holmfield Industrial Estate, Halifax, HX2 9TN",,1258.4,65348714,2600
,16/11/2006,"Market Stall 121, Market Hall, Borough Market, Halifax             HX1 1DZ",,0,64288761,1425
,01/10/2006,"Unit 1C Turkey Lodge, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,0,76400707,4950
"Transaction Processing Unit, Epsom Court, Epsom Road,, White Horse Business Park, Trowbridge, Wiltshire, BA14 0XF",29/01/2006,"Hollin Hall Office, Hollin Hall Farm, Wadsworth, Hebden Bridge        HX7 7AP",The National Trust,785.26,76270702,7900
"41 Elizabeth Street, Elland, HX5 0JH",23/11/2006,"41 Elizabeth Street, Elland, HX5 0JH",Acs Health Safety & Environment Ltd,0,56076041,6000
,01/04/2008,"Unit 4, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",,0,77024705,1375
,11/04/2008,"Atlas Mill Road, Brighouse, HD6 1ES",C F S (Brighouse) Ltd,919.6,29032704,1900
,01/02/2006,"Unit 4 White Lee Garage, Burnley Road, Mytholmroyd, HX7 5AD",,0,76088839,2800
"Office Suite E345, Dean Clough, Halifax, HX3 5AX",01/01/2006,"Unit DY/1, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,0,64784751,5100
,08/12/2007,"30 Pellon Lane, Halifax, HX1 5SP",,150.04,68236030,310
,17/12/2007,"6a Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",,0,64832700,2600
,22/12/2007,"9 Gooder Lane, Brighouse, HD6 1HF",,0,29272009,5900
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",27/12/2007,"21 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252729,1575
,01/09/2007,"Quality Works, Rochdale Road, Todmorden, OL14 7NA",,0,78400830,122
"F A O Kevin Stewart, 35 Harrison Road, Halifax, HX1 2AF",01/01/2008,"35 Harrison Road, Halifax, HX1 2AF",Sky High Plc,5566,65276717,11500
,01/05/2008,"Unit 7/8 Lower Brearley Mill, Luddendenfoot, Halifax, HX2 6HU",,0,64356712,4800
,07/02/2008,"12 Pellon Lane, Halifax, HX1 5SP",,2932.3,68236012,5900
,08/05/2006,"3 Market Street, Brighouse, HD6 1AP",,765.57,29404003,7300
"7 Cottage Road, Headingley, Leeds, LS6 4DD",31/07/2008,"Suite 2C First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",A T C Properties Ltd,0,65100022,2050
,19/07/2010,"178 Woodhouse Lane, Brighouse, HD6 3TH",,1539.75,29652178,8300
"C/O P.P.I Accountancy Ltd, Horley Green House, 73 Horley Green Road, Halifax, HX3 6AS",01/04/2010,"Horley Green House, Horley Green Road, Halifax, HX3 6AS",Biosonics Ltd,0,65372707,4400
,01/06/2010,"Unit G, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",,0,29232724,8300
"Attn Mr C Hemmings, Paddock Works, 149 Shay Lane, Halifax, HX3 6RR",01/04/2010,"Paddock Works, 149 Shay Lane, Halifax, HX3 6RR",Double Vision Windows Ltd,0,68536758,3650
"Whitelands, Churn Lane, Highroad Well, Halifax, HX2 7QW",01/06/2011,"Unit B, Horley Green Road, Halifax, HX3 6AS",G A O'Dowd Ltd,0,65372708,5100
"Fao William Dunn, 1 Mill Lane, Boothtown, Halifax, HX3 6TR",01/04/2010,"Unit A The Old Rubber Mill, Mill Lane, Boothtown, Halifax              HX3 6TR",Reflecting Roadstuds Ltd,5566,65808757,11500
"Office Suite E 244, Dean Clough Mills, Halifax, HX3 5AX",01/12/2009,"Unit GY/5, G Mill Yard, Dean Clough Industrial Park, Halifax              HX3 5AX",Origin Print Solutions Ltd,1089,64784778,2250
,10/04/2010,"Office 16 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Smart People Training & Development Company Ltd,0,64242714,1400
,01/06/2010,"Part Ground Floor Adj, Unit 20 Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",,0,77024780,3200
,01/09/2010,"Unit 1E Lwr Grd Flr Sth Mill, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",,0,65344829,830
,15/10/2010,"19 Westgate, Halifax, HX1 1DJ",Co Co Boo Halifax Ltd,2081.99,69400017,8900
"Fao Mr Richard Severn, 22 Newlands Grove, Northowram, Halifax, HX3 7HZ",01/06/2011,"Ground Floor, 354 Pellon Lane, Halifax, HX1 4QD",Rms Carpets Ltd,0,68236780,5800
"C/O Gbr Phoenix & Beard Ltd, The Exchange, 19 Newhall Street, Birmingham, B3 3JP",29/06/2011,"2 Crown Street, Hebden Bridge, HX7 8EH",Sackville Spf Iv (Gp) No. 3 Ltd,3926.3,76176002,7900
,01/06/2011,"220 King Cross Road, Halifax, HX1 3JP",,629.96,65516220,7100
"9 Jubilee Street, Mytholmroyd, Hebden Bridge, HX7 5NP",01/09/2010,"Unit 6C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Rs Electrical (Calderdale) Ltd,0,64628772,2325
,28/12/2010,"3 Whitwell Grove, Elland, HX5 9EJ",,0,56260003,2250
,12/10/2010,"Ground Floor, 14 Wards End, Halifax, HX1 1BX",Pj's At Crystal Rooms Ltd,500.91,69264736,6900
,01/06/2011,"Off 4/5 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Dexter Nicholas Ltd,765.57,64242793,7300
,01/04/2011,"239 Queens Road, Halifax, HX1 4NJ",,0,68308239,5800
"Unit 4A, Calderdale Business Park, Club Lane, Halifax, HX2 8AX",01/12/2010,"Unit 4A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Pennine Magpie Ltd,435.6,64628804,9000
,26/01/2011,"Stalls 31/32 Market Hall, Brook Street, Todmorden, OL14 5AJ",,0,78068721,2650
,01/11/2010,"9 Burnley Road, Todmorden, OL14 7BU",,1718.2,78076781,3550
"Unit 1, Burley Street Works, Burley Street, Elland, HX5 0AQ",14/05/2008,"Unit 1 Burley Street Works, Burley Street, Elland, HX5 0AQ",Calder Screenprint Ltd,1500.4,56028717,3100
"Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",01/04/2008,"Storage Land, Hubert Street, Halifax, HX2 0AS",Cullingworth Commercials & Freight Services Ltd,762.3,65410702,1575
,01/07/2008,"Car Wash, Mill Royd Street, Brighouse, HD6 1EY",,0,29424713,5300
,19/09/2008,"22/24 Carr House Road, Shelf, Halifax, HX3 7QY",,152.46,64500024,6300
"C/O Waterside House, Central Works, Oldham Road, Ripponden, HX6 4DN",01/04/2008,"Unit 5, Ladyship Industrial Estate, Old Lane, Halifax              HX3 5QN",Calder Brook Estates Ltd,0,68132753,1600
,20/04/2008,"Unit 4 Springvale Works, Elland Road, Brighouse, HD6 2RN",,629.96,29236803,7100
,24/12/2009,"18 Carlton Street, Halifax, HX1 2AL",,1290.65,64488018,8000
"Brian Royd Mills, Saddleworth Road, Greetland, Halifax, HX4 8NF",01/11/2009,"Second Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",Binns & Sons (Greetland) Ltd,0,64873713,1825
,01/04/2010,"Unit 4 Hope Mill, Raglan Street, Todmorden, OL14 5HF",,100.02,78376702,6200
"Units 4, Brow Mills Industrial Estate, Brighouse Road, Hipperholme, HX3 8EF",01/07/2008,"Unit 4 Brow Mills Ind Esate, Brighouse Road, Hipperholme, Halifax              HX3 8DD",Mitchell Mould Service Ltd,4961,64376736,10250
"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",01/04/2008,"Container No. 3, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",Units To Let [Northern] Ltd,0,77340732,200
,03/10/2008,"104 Commercial Street, Brighouse, HD6 1AQ",,1290.65,29196104,8000
"1 Brunswick Street, Batley, West Yorkshire, WF17 5DT",23/09/2008,"Gable Of The Round Tavern, 2 Clifton Road, Brighouse, HD6 1SL",Brearleys Solicitors,810.7,29180724,1675
,01/04/2008,"First Floor Offices, 43-51 Queens Road, Halifax, HX1 3NS",,0,68308810,3100
,01/12/2008,"Market Stall 82-84, Market Hall, Borough Market, Halifax             HX1 1DZ",,980.92,64288743,7600
"Fao The Treasurer, Severhills Farm, Foxen Lane, Mill Bank, Sowerby Bridge, HX6 4ND",12/08/2010,"Clay Pigeon Shooting Club, Severhills Farm, Foxen Lane, Mill Bank            HX6 4ND",Severhills Clay Pigeon Shooting Club,0,77214701,520
,01/11/2010,"6 Cross Hills, Halifax, HX1 1XQ",,0,64716006,1500
"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",01/03/2010,"Unit 8A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,1476.2,64628813,3050
,15/02/2009,"15 Northgate, Halifax, HX1 1UR",,2374.81,68096015,9200
"Po Box 6079, Wolverhampton, WV1 9RA",09/01/2009,"Telecommunications Mast, Site Ref HX0023 Church R/Top, St Peter's Avenue, Sowerby Bridge       HX6 1DF",Mobile Broadband Network Ltd,4065.6,77536707,8400
,05/12/2008,"Blind Lane, Todmorden, OL14 5HZ",,378.34,78040713,6700
,01/10/2010,"Victoria Wood View, 5 Clunters, Cragg Vale, Hebden Bridge        HX7 5TH",,847,76679005,1750
,01/11/2008,"Unit 5, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",,0,76508709,1225
,01/04/2009,"220a Rochdale Road, Greetland, Halifax, HX4 8JE",,0,68392733,2275
"1 Sterling Business Park, Salthouse Road, Brackmills, Northampton, Northamptonshire, NN4 7EX",01/04/2009,"Office 11 Ground Floor, 11 Owler Ings Road, Brighouse, HD6 1EJ",The Stroke Association,116.8,29452728,1175
"Lower Brear, Leeds Road, Stump Cross, Halifax, HX3 7AQ",01/04/2010,"Lower Brea, Leeds Road, Halifax, HX3 7AQ",W W Leese [Hx] Ltd,0,65612723,4750
"Kildalton, Islay House, Lynderswood Farm, Lynderswood Lane, Black Notley, Braintree, CM77 8JT",06/09/2010,"Unit 7 Lower Brea, Leeds Road, Halifax, HX3 7AQ",Managed Water Services Ltd,1863.4,65612721,3850
,17/04/2010,"Unit 2 Lower Brea, Leeds Road, Halifax, HX3 7AQ",,1573,65612716,3250
,24/02/2011,"8 Church Street, Brighouse, HD6 3NF",,1282.6,29160008,2650
,01/03/2011,"Balcony Store 27, Borough Market, Halifax, HX1 1DZ",,266.2,64288799,550
,02/06/2009,"105 Battinson Road, Halifax, HX1 4RE",,0,64176105,2850
"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",15/12/2008,"2 Rawson Street North, Halifax, HX3 6PU",Halifax Opportunities Trust,0,68360002,9600
"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",01/04/2009,"Adv Right Bus Shelter 20922, Adj 242 Rochdale Road, Halifax, HX2 7NL",Clear Channel (Uk) Ltd,232.32,68388242,480
,01/04/2009,"Melbourne Works Third Floor, Melbourne Street, Hebden Bridge, HX7 6AS",59 Steps Art Studio,0,76364701,4300
,05/02/2011,"24 Clough Lane, Mixenden, Halifax, HX2 8SN",,1379.4,64612024,2850
,01/04/2011,"120 Albert View, Pellon, Halifax, HX2 0DD",,0,64048120,2475
,01/04/2011,"16 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,0,76088016,770
